sighting_date,location
2024-06-03,Bridges of Ross
2024-06-01,Ballykinler
2024-05-31,Oysterhaven Bay
2024-05-30,Lacken
2024-05-30,Cahersiveen
2024-05-24,Monaseed
2024-04-20,Galway City
2024-03-30,Timoleague
2024-03-17,Timoleague
2024-03-05,Timoleague
2024-02-16,Cahersiveen
2024-02-16,Killybegs
2024-02-10,Cahersiveen
2024-02-08,Portballintrae
2024-02-03,Blackrock
2024-02-02,Killybegs
2024-01-28,Enniskillen
2024-01-25,Cahersiveen
2024-01-24,Killybegs
2024-01-16,Oranmore
2024-01-12,Killybegs
2024-01-11,Dingle Peninsula
2024-01-02,Dingle Peninsula
2023-12-31,Easkey
2023-12-30,Beara Peninsula
2023-12-28,Kilcummin Head / Ceann Chill Chuimín
2023-12-23,Timoleague / Tigh Molaige
2023-12-23,Timoleague / Tigh Molaige
2023-12-21,Clonakilty
2023-12-18,Iveragh Peninsula / Uíbh Ráthach
2023-12-15,Clonakilty
2023-12-13,Oysterhaven Creek
2023-12-13,Clonakilty
2023-12-12,Ballyhealy
2023-12-10,Timoleague
2023-12-10,Kilkee
2023-12-09,Killarney National Park
2023-12-09,Clonakilty
2023-12-04,Kilkee
2023-12-03,Ballycotton
2023-12-02,Kilkee
2023-12-01,Ballylongford
2023-11-30,Kilkee
2023-11-26,Belmullet Peninsula
2023-11-24,Magheraroarty
2023-11-23,Achill Island
2023-11-21,Belmullet Peninsula
2023-11-19,Killybegs
2023-11-05,Ballyshannon Estuary
2023-11-04,Killybegs
2023-11-02,Killough
2023-11-01,Gormanston
2023-10-25,Kilkee
2023-10-24,The Raven
2023-10-21,Balbriggan
2023-10-18,Killybegs
2023-10-14,Sligo Town
2023-10-11,Wexford Wildfowl Reserve
2023-10-09,Skerries
2023-10-08,Hook Peninsula
2023-10-08,Dundalk
2023-10-03,Hook Peninsula
2023-10-02,Kilcoole
2023-10-02,Rosslare Europort
2023-09-29,Rosslare Europort
2023-09-29,Garron Point
2023-09-27,Cabinteely
2023-09-22,Duncannon
2023-09-20,Duncannon
2023-09-17,Cape Clear Island
2023-09-15,Cape Clear Island
2023-09-11,Dursey Island
2023-09-07,Lough Swilly
2023-09-06,Coleraine
2023-09-01,Mullaghmore
2023-08-31,Quilty
2023-08-30,Bann Estuary
2023-08-29,Mornington
2023-08-28,Lough Swilly
2023-08-27,Kinsale
2023-08-27,Tacumshin
2023-08-26,Lurgangreen
2023-08-25,Lurgangreen
2023-08-24,Lurgangreen
2023-08-22,Dundalk
2023-08-21,Dundalk
2023-08-20,Dundalk
2023-08-20,Wexford Harbour
2023-08-15,Courtmacsherry
2023-08-14,Lough Corrib
2023-08-14,Dundalk
2023-08-09,Lurgangreen
2023-08-07,Dundalk
2023-08-04,Dundalk
2023-08-04,Black Rock
2023-08-02,Dundalk
2023-07-31,Killough
2023-07-29,Seafield
2023-07-23,Ardglass
2023-07-15,Owenahincha
2023-07-06,Killough
2023-07-01,Inishkea South /  Inis Gé Theas
2023-06-28,Killybegs
2023-06-19,Ardglass
2023-06-08,Lacken Pier
2023-06-05,Ardglass
2023-05-24,Sheep's Head
2023-05-06,Killybegs
2023-04-10,Killybegs
2023-04-09,Hook Peninsula
2023-03-21,Aughinish Island
2023-03-01,Killybegs
2023-02-18,Sligo Town
2023-02-17,Hook Peninsula
2023-02-13,Killybegs
2023-01-18,Sligo Town
2023-01-17,Hook Peninsula
2023-01-17,Killimer
2023-01-13,Lacken
2023-01-11,Duncannon
2023-01-11,Sligo Town
2023-01-10,Killybegs
2023-01-10,Kinsale Town
2023-01-09,Sherkin Island
2023-01-09,Killybegs
2023-01-06,Duncannon
2023-01-04,Lacken Pier
2023-01-02,Kinsale Town
2022-12-30,Greystones
2022-12-26,Mutton Island
2022-12-21,Killybegs
2022-12-18,Carne
2022-12-13,Tory Island
2022-12-08,Bellderrig
2022-12-07,Achill Island
2022-12-07,Arthurstown
2022-11-30,Killybegs
2022-11-21,Carnsore Point
2022-11-19,Lough Swilly
2022-11-18,Dingle Peninsula
2022-11-17,Killybegs
2022-11-11,Rough Point
2022-11-10,Moville
2022-11-09,Kilcoole
2022-11-05,Killybegs
2022-11-03,Aughinish
2022-11-02,Cashen
