date,ind,result,indt,temp,indw,wetb,dewpt,vappr,rhum,msl,indm,wdsp,indwd,wddir,ww,w,sun,vis,clht,clamt
06-feb-2015 05:00,3.4,97,3,0,0.0,999,8,11,3.2,3,2.9,0,2,1032.8,2,7.5,20000,20,0.0,2
06-feb-2015 06:00,3.0,96,3,0,0.0,999,9,11,2.8,3,2.6,0,2,1033.0,2,7.3,20000,30,0.0,2
06-feb-2015 07:00,2.9,98,3,0,0.0,35,10,11,2.8,6,2.6,0,2,1033.2,2,7.4,20000,20,0.0,2
06-feb-2015 08:00,3.0,96,0,0,0.0,30,8,11,2.8,7,2.5,0,2,1033.9,2,7.3,30000,30,0.0,2
06-feb-2015 09:00,3.4,95,0,0,0.0,30,6,11,3.1,7,2.7,0,2,1034.4,2,7.4,25000,20,0.0,2
06-feb-2015 10:00,3.8,93,0,0,0.0,33,7,11,3.4,7,2.9,0,2,1034.9,2,7.5,25000,30,0.0,2
06-feb-2015 11:00,4.4,89,0,0,0.4,15,8,11,3.7,7,2.7,0,2,1035.3,2,7.4,25000,50,0.0,2
06-feb-2015 12:00,4.8,79,0,0,0.5,35,9,11,3.5,5,1.5,0,2,1035.3,2,6.8,25000,50,0.0,2
06-feb-2015 13:00,5.5,74,0,0,0.4,32,9,11,3.8,5,1.3,0,2,1035.2,2,6.7,25000,60,0.0,2
06-feb-2015 14:00,5.2,75,0,0,0.7,30,9,11,3.6,4,1.0,0,2,1035.2,2,6.6,25000,50,0.0,2
06-feb-2015 15:00,5.5,77,0,0,0.8,30,8,11,4.0,4,1.8,0,2,1035.1,2,6.9,25000,50,0.0,2
06-feb-2015 16:00,5.3,72,0,0,0.9,999,9,11,3.5,3,0.8,0,2,1035.1,2,6.4,25000,30,0.0,2
06-feb-2015 17:00,4.8,70,0,0,0.3,999,11,11,2.9,1,-0.1,0,2,1035.3,2,6.0,25000,30,0.0,2
06-feb-2015 18:00,3.8,77,0,0,0.0,999,11,11,2.4,1,0.1,0,2,1035.8,2,6.1,25000,20,0.0,2
06-feb-2015 19:00,3.1,81,0,0,0.0,999,11,11,2.0,1,0.2,0,2,1036.5,2,6.2,20000,10,0.0,2
06-feb-2015 20:00,2.6,84,0,0,0.0,999,9,11,1.7,1,0.3,0,2,1036.7,2,6.2,20000,10,0.0,2
06-feb-2015 21:00,1.9,87,3,0,0.0,999,8,11,1.2,1,0.1,0,2,1037.2,2,6.1,20000,20,0.0,2
06-feb-2015 22:00,1.9,89,3,0,0.0,999,7,11,1.3,1,0.4,0,2,1037.4,2,6.2,20000,20,0.0,2
06-feb-2015 23:00,2.7,91,3,0,0.0,999,8,11,2.2,1,1.3,0,2,1037.4,2,6.8,20000,10,0.0,2
07-feb-2015 00:00,1.8,93,3,0,0.0,999,7,11,1.4,1,0.8,0,2,1037.6,2,6.4,20000,10,0.0,2
07-feb-2015 01:00,2.0,93,3,0,0.0,999,7,11,1.6,1,0.8,0,2,1037.9,2,6.5,20000,10,0.0,2
