date,clamt,rhum,wdsp,wddir,indm,ind,indt,indwd,sun,clht,temp,msl,indw,vis,vappr,ww,result,w,wetb,dewpt
23-jan-2025 14:00,4,61,13,260,2,0,0,2,0.1,40,6.9,998.8,0,40000,6.1,2,0.0,11,4.2,0.1
23-jan-2025 15:00,7,66,11,240,2,0,0,2,0.0,150,6.4,998.7,0,40000,6.3,2,0.0,11,4.1,0.5
23-jan-2025 16:00,7,74,7,230,2,0,0,2,0.0,120,5.6,998.4,0,40000,6.7,2,0.0,11,3.9,1.2
23-jan-2025 17:00,7,71,5,220,2,0,0,2,0.0,80,5.5,997.8,0,40000,6.4,2,0.0,11,3.6,0.6
23-jan-2025 18:00,7,78,7,180,2,0,0,2,0.0,80,5.2,996.3,0,40000,6.9,2,0.0,11,3.8,1.8
23-jan-2025 19:00,7,82,9,150,2,0,0,2,0.0,30,5.8,994.3,0,15000,7.5,60,0.1,62,4.6,2.8
23-jan-2025 20:00,8,89,18,140,2,0,0,2,0.0,19,6.1,989.4,0,6000,8.4,62,1.1,62,5.4,4.4
23-jan-2025 21:00,8,94,26,150,2,0,0,2,0.0,9,6.9,986.1,0,3000,9.4,63,2.8,62,6.5,6.1
23-jan-2025 22:00,7,99,31,140,2,0,0,2,0.0,4,8.3,980.4,0,2000,10.8,63,5.9,66,8.2,8.1
23-jan-2025 23:00,8,100,29,160,2,0,0,2,0.0,3,10.0,976.2,0,1200,12.3,63,5.3,66,10.0,10.0
24-jan-2025 00:00,7,100,31,190,2,0,0,2,0.0,4,10.4,973.6,0,1800,12.6,63,3.3,62,10.4,10.4
24-jan-2025 01:00,7,99,33,200,2,0,0,2,0.0,4,11.1,971.9,0,7000,13.0,60,1.1,62,11.0,10.9
24-jan-2025 02:00,7,84,37,210,2,0,0,2,0.0,21,9.2,973.2,0,10000,9.8,21,0.9,62,8.0,6.6
24-jan-2025 03:00,7,81,34,230,2,2,0,2,0.0,25,7.0,974.9,0,10000,8.1,21,0.0,62,5.7,4.0
24-jan-2025 04:00,7,85,31,240,2,0,0,2,0.0,23,5.7,976.9,0,12000,7.7,25,0.1,82,4.7,3.3
24-jan-2025 05:00,7,65,31,230,2,2,0,2,0.0,27,6.4,978.4,0,12000,6.2,25,0.0,82,4.0,0.2
24-jan-2025 06:00,6,58,29,230,2,0,0,2,0.0,45,6.4,980.4,0,18000,5.5,1,0.0,86,3.5,-1.5
24-jan-2025 07:00,7,51,29,230,2,0,0,2,0.0,46,6.1,982.5,0,20000,4.8,2,0.0,11,2.8,-3.2
24-jan-2025 08:00,7,47,27,250,2,0,0,2,0.0,45,6.1,985.5,0,18000,4.4,2,0.0,11,2.5,-4.4
24-jan-2025 09:00,5,48,25,250,2,0,0,2,0.1,43,5.7,987.7,0,18000,4.4,2,0.0,11,2.2,-4.6
24-jan-2025 10:00,4,52,22,250,2,0,0,2,1.0,220,5.9,989.6,0,20000,4.9,2,0.0,11,2.7,-3.2
24-jan-2025 11:00,4,45,20,250,2,0,0,2,1.0,210,7.0,991.5,0,30000,4.5,2,0.0,11,3.1,-4.2
24-jan-2025 12:00,4,53,16,230,2,0,0,2,0.7,210,7.6,992.1,0,40000,5.5,2,0.0,11,4.2,-1.4
24-jan-2025 13:00,4,66,17,230,2,2,0,2,0.7,43,6.2,992.6,0,40000,6.2,25,0.0,82,3.9,0.3
24-jan-2025 14:00,7,78,15,220,2,2,0,2,0.0,34,5.1,993.2,0,40000,6.8,80,0.0,82,3.7,1.5
24-jan-2025 15:00,7,88,14,230,2,0,0,2,0.0,40,4.1,993.2,0,40000,7.2,25,0.2,82,3.4,2.3
24-jan-2025 16:00,7,90,10,250,2,0,0,2,0.0,17,4.1,994.1,0,30000,7.4,80,0.3,82,3.5,2.5
24-jan-2025 17:00,6,85,11,250,2,0,0,2,0.0,70,3.6,994.2,0,40000,6.7,25,0.1,82,2.7,1.4
24-jan-2025 18:00,3,81,7,230,2,0,0,2,0.0,999,2.7,995.1,0,40000,6.0,1,0.0,81,1.6,-0.2
24-jan-2025 19:00,2,83,9,240,2,0,0,2,0.0,999,1.8,996.0,0,40000,5.8,2,0.0,11,0.9,-0.8
24-jan-2025 20:00,1,76,8,230,2,3,0,2,0.0,999,2.1,997.3,0,30000,5.4,2,0.0,11,0.8,-1.5
24-jan-2025 21:00,1,84,8,260,2,3,0,2,0.0,999,0.7,998.0,1,30000,5.4,2,0.0,11,-0.1,-1.5
24-jan-2025 22:00,1,86,6,230,2,3,0,2,0.0,999,0.0,998.7,1,30000,5.2,2,0.0,11,-0.7,-2.2
24-jan-2025 23:00,1,80,6,230,2,3,0,2,0.0,999,0.5,999.2,1,30000,5.1,2,0.0,11,-0.5,-2.6
25-jan-2025 00:00,3,85,7,230,2,3,1,2,0.0,999,-0.7,999.8,1,30000,5.0,2,0.0,11,-1.4,-3.0
25-jan-2025 01:00,3,82,7,230,2,3,0,2,0.0,999,0.1,1000.4,1,30000,5.0,2,0.0,11,-0.8,-2.5
25-jan-2025 02:00,3,82,7,230,2,3,0,2,0.0,999,0.0,1000.4,1,25000,5.0,2,0.0,11,-0.9,-2.6
25-jan-2025 03:00,3,79,8,250,2,3,0,2,0.0,999,0.8,1001.1,1,30000,5.1,2,0.0,11,-0.3,-2.5
25-jan-2025 04:00,1,86,8,230,2,3,1,2,0.0,999,-0.1,1001.4,1,30000,5.2,2,0.0,11,-0.8,-2.3
25-jan-2025 05:00,2,87,6,230,2,3,1,2,0.0,999,-0.9,1001.8,1,30000,5.0,2,0.0,11,-1.5,-2.8
25-jan-2025 06:00,1,83,7,230,2,3,0,2,0.0,999,1.5,1002.3,0,30000,5.7,2,0.0,11,0.6,-0.9
25-jan-2025 07:00,1,88,6,230,2,3,0,2,0.0,999,0.0,1002.9,1,30000,5.4,2,0.0,11,-0.6,-1.7
25-jan-2025 08:00,1,86,6,250,2,3,0,2,0.0,999,0.1,1003.0,1,30000,5.3,2,0.0,11,-0.6,-2.1
25-jan-2025 09:00,2,87,3,200,2,3,1,2,1.0,999,-0.7,1003.6,1,50000,5.1,2,0.0,11,-1.3,-2.4
25-jan-2025 10:00,3,84,3,220,2,3,0,2,0.7,999,2.3,1003.3,0,50000,6.0,2,0.0,11,1.4,-0.3
25-jan-2025 11:00,6,86,5,120,2,3,0,2,0.0,160,2.3,1002.9,0,45000,6.2,2,0.0,11,1.5,0.2
25-jan-2025 12:00,7,85,7,120,2,2,0,2,0.0,34,3.6,1002.5,0,40000,6.7,80,0.0,81,2.7,1.4
25-jan-2025 13:00,7,91,11,150,2,0,0,2,0.1,16,2.9,1002.1,0,4000,6.9,89,1.2,82,2.4,1.7
25-jan-2025 14:00,8,95,12,180,2,0,0,2,0.0,12,4.3,1001.0,0,5000,7.9,80,1.3,82,4.0,3.6
25-jan-2025 15:00,7,95,11,210,2,0,0,2,0.4,16,4.2,1000.7,0,30000,7.8,25,0.8,82,3.9,3.4
25-jan-2025 16:00,4,84,10,210,2,0,0,2,0.3,60,5.1,1000.7,0,40000,7.4,25,0.5,82,4.1,2.6
25-jan-2025 17:00,4,91,9,220,2,2,0,2,0.0,24,3.0,1001.1,0,40000,6.9,25,0.0,82,2.5,1.6
25-jan-2025 18:00,2,91,6,220,2,3,0,2,0.0,999,1.9,1001.4,0,40000,6.4,1,0.0,81,1.4,0.5
25-jan-2025 19:00,2,87,5,250,2,3,0,2,0.0,999,2.0,1002.2,0,30000,6.1,2,0.0,11,1.3,0.2
25-jan-2025 20:00,1,87,5,250,2,3,0,2,0.0,999,1.8,1002.1,0,30000,6.1,2,0.0,11,1.1,-0.1
25-jan-2025 21:00,1,92,3,200,2,3,0,2,0.0,999,0.2,1002.6,1,30000,5.7,2,0.0,11,-0.2,-1.0
25-jan-2025 22:00,1,94,4,210,2,3,1,2,0.0,999,-0.9,1002.3,1,30000,5.4,2,0.0,11,-1.2,-1.7
25-jan-2025 23:00,1,92,2,210,2,3,0,2,0.0,999,0.4,1001.8,0,30000,5.8,2,0.0,11,0.0,-0.8
26-jan-2025 00:00,1,90,3,130,2,3,0,2,0.0,999,0.6,1000.0,0,30000,5.8,2,0.0,11,0.1,-0.9
26-jan-2025 01:00,5,90,6,120,2,3,0,2,0.0,200,1.2,999.2,0,30000,6.0,2,0.0,11,0.7,-0.2
26-jan-2025 02:00,5,84,6,120,2,3,0,2,0.0,180,2.1,996.9,0,30000,5.9,2,0.0,11,1.2,-0.3
26-jan-2025 03:00,4,89,8,120,2,0,0,2,0.0,20,2.5,994.5,0,20000,6.5,25,0.4,81,1.9,1.0
26-jan-2025 04:00,6,80,9,120,2,0,0,2,0.0,160,4.4,990.9,0,20000,6.7,2,0.0,11,3.2,1.4
26-jan-2025 05:00,7,80,15,120,2,2,0,2,0.0,30,6.3,987.7,0,20000,7.7,60,0.0,22,5.0,3.2
26-jan-2025 06:00,8,91,20,120,2,0,0,2,0.0,19,6.1,984.3,0,4000,8.5,61,1.4,62,5.5,4.6
26-jan-2025 07:00,7,92,25,120,2,0,0,2,0.0,8,5.9,980.9,0,4000,8.6,63,4.1,66,5.4,4.8
26-jan-2025 08:00,7,91,27,120,2,0,0,2,0.0,16,6.2,977.2,0,4000,8.6,63,2.2,66,5.6,4.7
26-jan-2025 09:00,7,95,30,120,2,0,0,2,0.0,7,6.4,974.5,0,3000,9.2,63,4.2,66,6.1,5.7
26-jan-2025 10:00,7,96,23,110,2,0,0,2,0.0,6,7.1,972.1,0,4000,9.6,61,0.9,66,6.8,6.5
26-jan-2025 11:00,7,94,16,140,2,0,0,2,0.0,16,8.0,970.2,0,5000,10.1,61,0.5,66,7.6,7.2
26-jan-2025 12:00,7,93,15,180,2,0,0,2,0.0,15,8.1,969.3,0,5000,10.0,60,0.4,62,7.6,7.0
26-jan-2025 13:00,7,94,17,180,2,0,0,2,0.0,15,7.6,969.1,0,5000,9.8,61,1.8,66,7.2,6.7
