date,ind,result,indt,temp,indw,wetb,dewpt,vappr,rhum,msl,indm,wdsp,indwd,wddir,ww,w,sun,vis,clht,clamt
08-nov-2010 06:00,3.0,0.0,0,4.5,0.0,4.2,3.8,8.0,95.0,971.4,2.0,9,2,270.0,1,86.0,0.0,25000,190.0,5
08-nov-2010 07:00,3.0,0.0,0,5.5,0.0,4.9,4.0,8.2,91.0,970.2,2.0,8,2,250.0,2,11.0,0.0,25000,45.0,7
08-nov-2010 08:00,0.0,0.2,0,4.6,0.0,4.4,4.2,8.2,97.0,969.2,2.0,9,2,230.0,80,82.0,0.0,25000,50.0,6
08-nov-2010 09:00,0.0,0.9,0,5.2,0.0,5.1,5.0,8.7,98.0,968.2,2.0,8,2,210.0,80,82.0,0.0,20000,19.0,7
08-nov-2010 10:00,0.0,0.1,0,6.5,0.0,6.5,6.5,9.7,100.0,966.6,2.0,9,2,220.0,25,82.0,0.3,25000,200.0,4
08-nov-2010 11:00,2.0,0.0,0,9.1,0.0,8.3,7.5,10.3,89.0,965.3,2.0,9,2,250.0,25,82.0,0.8,30000,100.0,5
08-nov-2010 12:00,0.0,0.0,0,9.6,0.0,8.6,7.5,10.4,87.0,964.6,2.0,10,2,250.0,15,82.0,1.0,25000,35.0,6
08-nov-2010 13:00,0.0,0.0,0,10.2,0.0,8.5,6.5,9.7,78.0,963.5,2.0,11,2,270.0,2,11.0,0.5,20000,100.0,6
08-nov-2010 14:00,0.0,0.0,0,10.8,0.0,8.9,6.8,9.9,76.0,962.7,2.0,10,2,250.0,2,11.0,0.8,20000,200.0,4
08-nov-2010 15:00,0.0,0.0,0,9.9,0.0,8.3,6.5,9.7,79.0,962.1,2.0,9,2,250.0,2,11.0,0.1,25000,36.0,7
08-nov-2010 16:00,2.0,0.0,0,8.6,0.0,7.9,7.1,10.1,90.0,961.5,2.0,7,2,230.0,80,82.0,0.0,20000,30.0,7
08-nov-2010 17:00,0.0,0.6,0,7.9,0.0,7.6,7.3,10.2,96.0,961.5,2.0,8,2,280.0,25,82.0,0.0,30000,100.0,6
08-nov-2010 18:00,0.0,0.0,0,6.7,0.0,6.6,6.4,9.7,98.0,961.9,2.0,4,2,260.0,2,82.0,0.0,25000,100.0,6
08-nov-2010 19:00,0.0,1.0,0,5.8,0.0,5.6,5.3,8.9,97.0,962.7,2.0,9,2,330.0,80,82.0,0.0,16000,22.0,7
08-nov-2010 20:00,0.0,0.4,0,5.5,0.0,5.5,5.4,9.0,100.0,963.8,2.0,10,2,360.0,80,82.0,0.0,9000,16.0,7
08-nov-2010 21:00,0.0,0.3,0,5.6,0.0,5.3,5.0,8.7,95.0,965.1,2.0,10,2,350.0,25,82.0,0.0,25000,23.0,6
08-nov-2010 22:00,2.0,0.0,0,5.6,0.0,5.5,5.4,8.9,98.0,966.3,2.0,12,2,340.0,25,82.0,0.0,25000,6.0,7
08-nov-2010 23:00,2.0,0.0,0,6.1,0.0,6.1,6.0,9.4,100.0,967.6,2.0,12,2,350.0,80,22.0,0.0,10000,7.0,7
09-nov-2010 00:00,2.0,0.0,0,6.0,0.0,5.7,5.3,8.9,95.0,968.8,2.0,14,2,350.0,25,82.0,0.0,20000,9.0,7
09-nov-2010 01:00,0.0,0.0,0,5.8,0.0,5.4,4.9,8.6,94.0,970.3,2.0,15,2,350.0,2,11.0,0.0,20000,10.0,7
