date,ind,result,indt,temp,indw,wetb,dewpt,vappr,rhum,msl,indm,wdsp,indwd,wddir,ww,w,sun,vis,clht,clamt
23-jan-2025 14:00,66.185,90.867,98.268,95.727,11.811,37.859,88.981,78.041,32.402,57.969,25.188,42.301,96.707,19.527,34.495,48.646,49.579,91.850,46.977,64.777
23-jan-2025 15:00,57.535,10.460,61.231,56.371,37.749,87.507,49.512,35.730,90.561,93.054,80.835,41.328,45.126,81.121,33.644,46.431,4.875,2.780,58.150,95.447
23-jan-2025 16:00,45.268,75.318,76.294,96.365,78.677,82.762,5.740,72.471,93.918,21.532,6.668,8.346,47.729,89.781,2.299,4.276,58.434,84.274,0.390,58.130
23-jan-2025 17:00,25.099,94.973,59.111,67.412,74.725,35.466,75.768,92.932,63.675,67.168,10.387,58.854,48.385,92.383,0.559,29.984,24.880,57.968,35.429,38.182
23-jan-2025 18:00,91.290,74.911,40.498,66.031,54.261,40.329,35.638,35.661,88.092,55.892,39.445,72.438,24.470,70.053,17.139,83.181,86.184,40.135,46.517,87.195
23-jan-2025 19:00,72.110,17.415,89.764,16.453,59.188,99.217,87.565,2.845,83.697,25.297,5.893,24.900,79.193,69.645,25.862,90.496,39.210,17.473,79.465,63.354
23-jan-2025 20:00,12.197,41.474,31.723,77.220,16.958,40.250,97.102,14.502,70.245,23.015,51.172,54.720,1.446,27.766,83.797,33.760,8.352,56.917,10.084,78.689
23-jan-2025 21:00,4.021,97.948,52.990,88.509,20.257,44.884,76.818,63.054,73.225,75.091,4.877,64.887,10.962,52.665,95.475,42.694,25.159,76.673,93.699,13.323
23-jan-2025 22:00,22.485,81.008,11.506,33.684,32.965,10.994,47.305,79.671,79.285,81.561,67.362,28.554,66.946,83.746,28.861,28.964,30.546,78.279,8.944,98.371
23-jan-2025 23:00,62.700,23.756,72.414,95.356,30.891,34.306,85.687,70.162,91.400,41.645,74.480,65.179,50.038,38.693,27.193,55.135,34.325,0.684,81.589,40.509
24-jan-2025 00:00,94.667,76.087,46.750,16.130,14.298,65.319,80.794,66.597,51.355,34.090,46.842,29.129,4.335,84.753,62.314,31.736,26.035,53.727,85.549,80.385
24-jan-2025 01:00,72.011,19.510,98.212,20.918,51.974,37.023,91.421,99.731,54.613,79.793,74.984,16.390,85.348,28.341,6.176,29.411,24.337,52.163,0.025,60.945
24-jan-2025 02:00,35.571,70.167,58.516,77.039,83.012,90.123,46.204,36.574,76.034,24.297,1.794,53.090,67.984,3.100,96.334,97.905,10.666,37.598,16.755,20.947
24-jan-2025 03:00,21.577,54.024,80.965,21.054,28.636,39.946,28.083,5.589,7.023,68.759,36.617,96.871,54.109,33.344,60.556,55.098,46.838,71.919,78.423,76.087
24-jan-2025 04:00,31.396,97.823,53.659,1.762,88.743,7.644,94.204,32.590,26.798,59.592,66.468,10.474,10.405,20.337,35.715,11.136,77.762,74.364,60.449,24.957
24-jan-2025 05:00,24.087,44.232,32.034,45.093,4.496,91.260,29.468,60.899,32.843,69.063,91.795,30.749,47.117,47.188,65.013,29.946,2.499,78.866,40.593,29.171
