date,ind,result,indt,temp,indw,wetb,dewpt,vappr,rhum,msl,indm,wdsp,indwd,wddir,ww,w,sun,vis,clht,clamt
23-jul-2010 18:00,0,0.0,0,13.8,0,12.3,10.9,13.1,83,1022.8,2,9,2,230,2,11,0.0,30000,50,8
23-jul-2010 19:00,0,0.9,0,12.9,0,12.8,12.7,14.7,99,1022.9,2,7,2,220,60,62,0.0,9000,39,8
23-jul-2010 20:00,0,0.8,0,12.5,0,12.5,12.5,14.5,100,1022.8,2,5,2,200,61,66,0.0,8000,2,8
23-jul-2010 21:00,0,0.2,0,12.7,0,12.7,12.7,14.7,100,1022.7,2,5,2,180,51,64,0.0,300,2,8
23-jul-2010 22:00,0,0.4,0,13.1,0,13.1,13.1,15.1,100,1022.5,2,6,2,200,51,54,0.0,4000,2,8
23-jul-2010 23:00,0,0.1,0,13.2,0,13.2,13.2,15.2,100,1022.4,2,7,2,210,50,52,0.0,5000,2,8
24-jul-2010 00:00,2,0.0,0,13.4,0,13.4,13.4,15.4,100,1022.1,2,8,2,220,50,64,0.0,4000,3,8
24-jul-2010 01:00,2,0.0,0,13.5,0,13.5,13.5,15.5,100,1021.4,2,9,2,210,51,55,0.0,1600,2,8
24-jul-2010 02:00,0,0.2,0,13.6,0,13.6,13.6,15.6,100,1020.9,2,8,2,190,58,64,0.0,700,2,8
24-jul-2010 03:00,0,0.3,0,13.7,0,13.7,13.7,15.7,100,1020.7,2,9,2,210,51,64,0.0,900,2,8
24-jul-2010 04:00,2,0.0,0,13.9,0,13.9,13.9,15.9,100,1020.2,2,8,2,200,51,64,0.0,500,2,8
24-jul-2010 05:00,0,0.1,0,14.0,0,14.0,14.0,16.0,100,1019.8,2,9,2,190,51,54,0.0,300,2,8
24-jul-2010 06:00,2,0.0,0,14.3,0,14.3,14.3,16.3,100,1019.9,2,8,2,210,51,64,0.0,200,2,8
24-jul-2010 07:00,0,0.1,0,14.6,0,14.6,14.6,16.6,100,1019.7,2,7,2,190,51,54,0.0,200,2,8
24-jul-2010 08:00,2,0.0,0,15.0,0,15.0,15.0,17.0,100,1020.0,2,7,2,210,50,54,0.0,300,2,8
24-jul-2010 09:00,2,0.0,0,15.5,0,15.5,15.5,17.6,100,1020.0,2,6,2,210,50,54,0.0,4000,2,8
24-jul-2010 10:00,2,0.0,0,16.1,0,16.1,16.1,18.3,100,1019.9,2,6,2,230,20,52,0.0,20000,5,8
24-jul-2010 11:00,0,0.0,0,17.6,0,17.6,17.6,20.1,100,1020.0,2,5,2,220,2,11,0.4,20000,12,8
24-jul-2010 12:00,0,0.0,0,18.4,0,17.2,16.4,18.7,88,1020.1,2,5,2,220,1,54,0.0,50000,10,7
24-jul-2010 13:00,0,0.0,0,19.9,0,18.1,17.0,19.3,83,1019.9,2,5,2,220,2,11,0.1,50000,30,7
24-jul-2010 14:00,0,0.0,0,20.4,0,17.4,15.3,17.5,73,1019.5,2,5,2,220,2,11,0.0,60000,26,7
24-jul-2010 15:00,0,0.0,0,20.5,0,16.9,14.4,16.4,68,1019.5,2,5,2,280,2,11,0.1,60000,140,7
24-jul-2010 16:00,0,0.0,0,20.8,0,17.2,14.7,16.7,68,1019.6,2,5,2,280,2,11,0.2,50000,130,7
24-jul-2010 17:00,0,0.0,0,20.4,0,17.2,15.0,17.1,71,1019.4,2,4,2,280,2,11,0.1,45000,110,7
24-jul-2010 18:00,0,0.0,0,19.5,0,17.1,15.4,17.6,78,1019.6,2,7,2,340,2,11,0.0,35000,24,7
24-jul-2010 19:00,0,0.0,0,17.8,0,15.7,14.2,16.1,79,1019.9,2,9,2,320,2,11,0.1,35000,100,7
24-jul-2010 20:00,0,0.0,0,16.6,0,15.1,14.0,16.0,85,1020.4,2,9,2,330,2,11,0.1,25000,80,5
24-jul-2010 21:00,0,0.0,0,15.9,0,14.8,14.0,15.9,88,1020.8,2,9,2,320,2,11,0.0,25000,80,6
24-jul-2010 22:00,0,0.0,0,15.3,0,14.3,13.5,15.5,89,1021.1,2,8,2,290,10,22,0.0,14000,70,7
24-jul-2010 23:00,0,0.0,0,15.0,0,14.1,13.4,15.4,90,1020.9,2,3,2,310,10,22,0.0,15000,70,7
25-jul-2010 00:00,0,0.0,0,14.7,0,13.9,13.3,15.2,91,1020.8,2,4,2,310,10,22,0.0,12000,60,7
25-jul-2010 01:00,0,0.0,0,14.4,0,13.8,13.3,15.3,93,1020.4,2,3,2,300,10,22,0.0,10000,60,7
25-jul-2010 02:00,0,0.0,0,14.6,0,13.8,13.2,15.1,91,1020.1,2,5,2,280,10,22,0.0,9000,49,7
25-jul-2010 03:00,0,0.0,0,14.4,0,13.6,13.0,14.9,91,1020.0,2,7,2,280,10,22,0.0,9000,50,6
25-jul-2010 04:00,3,0.0,0,13.6,0,13.2,12.9,14.8,95,1020.2,2,5,2,290,10,11,0.0,10000,999,2
25-jul-2010 05:00,3,0.0,0,13.3,0,13.0,12.7,14.7,96,1020.0,2,4,2,310,2,11,0.5,18000,999,1
25-jul-2010 06:00,3,0.0,0,13.9,0,13.3,12.8,14.8,93,1020.2,2,4,2,310,2,11,0.4,30000,999,1
25-jul-2010 07:00,0,0.0,0,15.1,0,14.4,13.8,15.8,92,1020.2,2,5,2,300,2,11,0.5,30000,999,2
25-jul-2010 08:00,0,0.0,0,16.3,0,15.2,14.3,16.4,88,1020.4,2,6,2,300,2,11,0.5,40000,999,4
25-jul-2010 09:00,0,0.0,0,17.5,0,16.2,15.3,17.4,87,1020.7,2,9,2,300,2,11,0.5,40000,17,5
25-jul-2010 10:00,0,0.0,0,18.2,0,16.4,15.2,17.2,82,1020.9,2,11,2,310,2,11,0.0,50000,20,7
25-jul-2010 11:00,0,0.0,0,19.1,0,17.0,15.6,17.7,80,1021.1,2,10,2,310,2,11,0.1,50000,15,7
25-jul-2010 12:00,0,0.0,0,19.6,0,17.4,15.9,18.1,79,1021.3,2,10,2,300,2,11,0.4,50000,15,7
25-jul-2010 13:00,0,0.0,0,20.3,0,17.8,16.1,18.4,77,1021.3,2,11,2,300,2,11,0.1,40000,15,7
25-jul-2010 14:00,0,0.0,0,21.0,0,18.1,16.3,18.4,74,1021.0,2,11,2,300,2,11,1.0,50000,37,5
25-jul-2010 15:00,0,0.0,0,21.7,0,18.5,16.5,18.7,72,1021.0,2,11,2,300,2,11,0.8,35000,20,7
25-jul-2010 16:00,0,0.0,0,21.4,0,18.4,16.5,18.8,74,1021.3,2,13,2,300,2,11,0.6,40000,25,5
25-jul-2010 17:00,0,0.0,0,20.5,0,18.2,16.7,19.1,79,1021.6,2,14,2,300,2,11,0.3,45000,20,7
25-jul-2010 18:00,0,0.0,0,20.5,0,18.2,16.7,19.1,79,1021.3,2,13,2,300,2,11,1.0,35000,999,1
25-jul-2010 19:00,0,0.0,0,19.5,0,17.6,16.3,18.6,82,1021.6,2,11,2,300,2,11,0.0,35000,999,3
25-jul-2010 20:00,0,0.0,0,18.3,0,17.2,16.5,18.7,89,1022.0,2,11,2,300,2,11,0.0,35000,22,7
25-jul-2010 21:00,0,0.0,0,17.4,0,16.7,16.3,18.4,93,1022.4,2,10,2,320,2,11,0.0,35000,23,6
25-jul-2010 22:00,0,0.0,0,17.4,0,16.7,16.3,18.4,93,1022.6,2,7,2,310,2,11,0.0,30000,17,7
25-jul-2010 23:00,3,0.0,0,16.9,0,16.4,16.0,18.2,95,1022.1,2,6,2,300,2,11,0.0,30000,999,3
26-jul-2010 00:00,3,0.0,0,16.4,0,16.1,15.9,18.0,97,1022.4,2,8,2,300,2,11,0.0,30000,999,2
26-jul-2010 01:00,3,0.0,0,16.0,0,15.8,15.7,17.8,98,1022.2,2,9,2,310,2,11,0.0,30000,999,2
26-jul-2010 02:00,3,0.0,0,15.9,0,15.8,15.8,17.9,99,1021.6,2,8,2,310,2,11,0.0,30000,999,1
26-jul-2010 03:00,3,0.0,0,15.8,0,15.7,15.6,17.7,99,1021.6,2,9,2,310,2,11,0.0,30000,999,2
26-jul-2010 04:00,3,0.0,0,15.7,0,15.5,15.3,17.4,98,1021.1,2,11,2,310,2,11,0.0,30000,999,1
26-jul-2010 05:00,3,0.0,0,15.4,0,15.3,15.2,17.3,99,1021.0,2,9,2,300,2,11,0.1,40000,999,1
26-jul-2010 06:00,3,0.0,0,15.4,0,15.3,15.2,17.3,99,1021.3,2,5,2,300,2,11,0.6,40000,10,7
26-jul-2010 07:00,0,0.0,0,16.3,0,16.0,15.7,17.9,97,1021.4,2,5,2,300,2,11,1.0,4000,5,4
26-jul-2010 08:00,0,0.0,0,17.4,0,16.6,16.1,18.2,92,1021.4,2,6,2,310,2,11,1.0,40000,250,4
26-jul-2010 09:00,0,0.0,0,18.6,0,17.2,16.2,18.5,86,1021.4,2,7,2,300,2,11,1.0,40000,8,5
26-jul-2010 10:00,0,0.0,0,19.9,0,17.7,16.3,18.5,80,1021.1,2,7,2,290,2,11,0.4,35000,14,5
26-jul-2010 11:00,0,0.0,0,21.0,0,18.4,16.8,19.1,77,1020.9,2,9,2,270,2,11,0.4,45000,18,7
26-jul-2010 12:00,0,0.0,0,21.1,0,18.4,16.7,19.0,76,1021.1,2,9,2,290,2,11,0.0,50000,18,7
26-jul-2010 13:00,0,0.0,0,21.1,0,17.8,15.7,17.7,71,1021.0,2,9,2,290,2,11,0.6,50000,20,7
26-jul-2010 14:00,0,0.0,0,21.2,0,17.9,15.7,17.9,71,1020.8,2,7,2,310,2,11,0.4,50000,20,7
26-jul-2010 15:00,2,0.0,0,23.0,0,18.5,15.6,17.7,63,1020.2,2,6,2,290,25,81,0.4,50000,50,5
26-jul-2010 16:00,0,0.0,0,21.5,0,18.3,16.2,18.5,72,1020.3,2,9,2,280,2,11,0.3,45000,38,7
26-jul-2010 17:00,0,0.0,0,21.2,0,18.0,15.9,18.1,72,1019.7,2,8,2,290,2,11,0.2,45000,37,7
26-jul-2010 18:00,0,0.0,0,21.2,0,18.1,16.0,18.3,73,1019.6,2,10,2,270,1,81,0.6,40000,110,6
26-jul-2010 19:00,0,0.0,0,20.5,0,17.6,15.7,17.8,74,1019.4,2,9,2,270,2,11,0.0,40000,160,7
26-jul-2010 20:00,0,0.0,0,18.7,0,17.1,16.0,18.2,84,1019.8,2,6,2,260,2,11,0.0,40000,150,7
26-jul-2010 21:00,0,0.0,0,17.9,0,16.5,15.5,17.6,86,1019.8,2,6,2,240,2,11,0.0,40000,140,7
26-jul-2010 22:00,0,0.0,0,16.9,0,16.4,16.0,18.2,95,1019.7,2,7,2,230,2,11,0.0,40000,140,7
26-jul-2010 23:00,0,0.0,0,16.6,0,16.3,16.1,18.3,97,1019.6,2,6,2,240,2,11,0.0,35000,15,7
27-jul-2010 00:00,2,0.0,0,16.5,0,16.4,16.3,18.6,99,1019.6,2,7,2,260,21,65,0.0,25000,6,8
27-jul-2010 01:00,2,0.0,0,16.1,0,16.0,15.9,18.1,99,1019.4,2,6,2,270,21,62,0.0,25000,7,8
27-jul-2010 02:00,2,0.0,0,16.0,0,15.8,15.7,17.8,98,1019.0,2,5,2,260,21,65,0.0,20000,11,8
27-jul-2010 03:00,0,0.1,0,15.8,0,15.7,15.7,17.7,99,1018.9,2,4,2,260,60,65,0.0,25000,80,8
27-jul-2010 04:00,0,0.5,0,15.5,0,15.5,15.5,17.6,100,1018.6,2,5,2,240,60,62,0.0,25000,60,8
27-jul-2010 05:00,2,0.0,0,15.2,0,15.2,15.2,17.3,100,1018.8,2,5,2,230,21,62,0.0,8000,140,8
27-jul-2010 06:00,0,0.1,0,15.4,0,15.4,15.4,17.5,100,1018.4,2,5,2,220,60,65,0.0,1100,2,7
27-jul-2010 07:00,0,0.0,0,15.6,0,15.6,15.6,17.7,100,1018.9,2,6,2,230,2,11,0.0,18000,22,7
27-jul-2010 08:00,0,0.0,0,16.3,0,16.2,16.2,18.3,99,1019.0,2,6,2,230,2,11,0.0,30000,30,7
27-jul-2010 09:00,0,0.0,0,17.1,0,16.3,15.7,17.9,92,1019.2,2,6,2,250,2,11,0.1,35000,12,7
27-jul-2010 10:00,0,0.0,0,18.2,0,16.9,16.1,18.2,87,1019.0,2,8,2,260,2,11,0.0,50000,90,7
27-jul-2010 11:00,0,0.0,0,18.3,0,16.0,14.4,16.3,78,1019.4,2,8,2,270,2,11,0.0,60000,16,7
27-jul-2010 12:00,0,0.0,0,18.3,0,15.8,13.9,15.9,76,1019.2,2,7,2,290,2,11,0.3,60000,30,7
27-jul-2010 13:00,0,0.0,0,19.4,0,16.1,13.6,15.7,70,1019.0,2,8,2,290,2,11,0.7,60000,110,7
27-jul-2010 14:00,0,0.0,0,20.3,0,16.2,13.2,15.1,64,1018.8,2,7,2,310,2,11,0.3,60000,30,7
27-jul-2010 15:00,0,0.0,0,20.6,0,16.4,13.4,15.3,63,1018.9,2,7,2,310,2,11,0.6,60000,30,7
27-jul-2010 16:00,0,0.0,0,20.3,0,16.1,12.9,14.9,63,1018.7,2,9,2,300,2,11,0.8,60000,280,7
27-jul-2010 17:00,0,0.0,0,19.2,0,15.0,11.7,13.7,62,1019.2,2,10,2,300,2,11,0.4,60000,280,6
27-jul-2010 18:00,0,0.0,0,17.9,0,14.6,12.0,14.0,68,1019.4,2,9,2,310,2,11,0.4,60000,280,6
27-jul-2010 19:00,0,0.0,0,17.2,0,14.0,11.3,13.4,68,1019.8,2,10,2,320,2,11,1.0,60000,999,4
27-jul-2010 20:00,0,0.0,0,16.1,0,13.6,11.5,13.6,74,1020.0,2,7,2,310,2,11,0.1,50000,999,2
27-jul-2010 21:00,0,0.0,0,14.8,0,12.7,10.9,13.0,77,1020.6,2,6,2,300,2,11,0.0,40000,999,1
27-jul-2010 22:00,0,0.0,0,14.0,0,12.5,11.1,13.3,83,1021.1,2,5,2,300,2,11,0.0,40000,999,2
27-jul-2010 23:00,0,0.0,0,13.2,0,12.0,11.0,13.1,86,1021.1,2,7,2,300,2,11,0.0,40000,999,1
28-jul-2010 00:00,0,0.0,0,13.0,0,12.2,11.4,13.6,91,1021.3,2,6,2,300,2,11,0.0,40000,19,6
28-jul-2010 01:00,0,0.0,0,12.9,0,12.0,11.2,13.3,89,1020.9,2,4,2,300,2,11,0.0,40000,19,6
28-jul-2010 02:00,0,0.0,0,12.6,0,11.8,11.1,13.2,90,1021.0,2,3,2,280,2,11,0.0,40000,19,6
28-jul-2010 03:00,0,0.0,0,12.1,0,11.4,10.8,12.9,92,1020.9,2,3,2,260,2,11,0.0,40000,20,7
